ID,Category,Cookie / Data Key name,Domain
446,functional,componentType,AWD
447,functional,componentStyle,AWD
448,functional,nrid,AWD
449,functional,sat_track,AWD
450,functional,cookieconsent_status,AWD
451,functional,cookieconsent_page,AWD
452,marketing,koitk,.marketingautomation.services
453,marketing,__ss_referrer,AWD
454,marketing,__ss_tk,AWD
455,marketing,__ss,AWD
456,site_analytics,_pk_id,AWD
457,site_analytics,_pk_ref,AWD
458,site_analytics,_pk_ses,AWD
459,site_analytics,_pk_cvar,AWD
460,site_analytics,_pk_hsr,AWD
461,site_analytics,_pk_testcookie,AWD
462,site_analytics,mtm_consent,AWD
463,site_analytics,_wepublishGa,AWD
464,site_analytics,_wepublishGa_gid,AWD
465,functional,OptanonConsent,AWD
466,marketing,optimizelyEndUserId,AWD
467,marketing,optimizelyRedirectData,AWD
468,marketing,optimizelyDomainTestCookie,AWD
469,marketing,optimizelyOptOut,AWD
470,functional,wwwchannelme_z_sid,AWD
471,marketing,app_ts,adscience.nl
472,marketing,viewer,adscience.nl
473,marketing,spx_ts,adscience.nl
474,marketing,adx_ts,adscience.nl
475,marketing,id_ts,adscience.nl
476,marketing,euconsent,faktor.io
477,functional,SSR-caching,wix.com
478,functional,smSession,wix.com
479,marketing,svSession,wix.com
480,functional,ForceFlashSite,wix.com
481,functional,hs,wix.com
482,functional,bSession,AWD
483,functional,TS01,AWD
484,functional,fedops.logger.sessionId,AWD
485,functional,wixLanguage,AWD
486,functional,_ab,shopify.com
487,functional,_secure_session_id,shopify.com
488,functional,Cart,shopify.com
489,functional,cart_sig,shopify.com
490,functional,cart_ts,shopify.com
491,functional,checkout_token,shopify.com
492,functional,Secret,shopify.com
493,functional,Secure_customer_sig,shopify.com
494,functional,storefront_digest,shopify.com
495,functional,_shopify_u,shopify.com
496,marketing,_tracking_consent,shopify.com
497,marketing,_landing_page,shopify.com
498,marketing,_orig_referrer,shopify.com
499,site_analytics,_s,shopify.com
500,site_analytics,_shopify_fs,shopify.com
501,site_analytics,_shopify_s,shopify.com
502,marketing,_shopify_sa_p,shopify.com
503,marketing,_shopify_sa_t,shopify.com
